procs, 2, 	units, 20, 	weights, 800, 	cycles, 40000, 	con_trav, 3.2e+07, 	secs, 0.69, 	mpisecs, 0.691562, 	Mcon/sec, 46.3768
procs, 2, 	units, 25, 	weights, 1250, 	cycles, 40000, 	con_trav, 5e+07, 	secs, 0.83, 	mpisecs, 0.831536, 	Mcon/sec, 60.241
procs, 2, 	units, 30, 	weights, 1800, 	cycles, 40000, 	con_trav, 7.2e+07, 	secs, 0.86, 	mpisecs, 0.863064, 	Mcon/sec, 83.7209
procs, 2, 	units, 35, 	weights, 2450, 	cycles, 40000, 	con_trav, 9.8e+07, 	secs, 0.86, 	mpisecs, 0.853974, 	Mcon/sec, 113.953
procs, 2, 	units, 40, 	weights, 3200, 	cycles, 40000, 	con_trav, 1.28e+08, 	secs, 0.88, 	mpisecs, 0.887902, 	Mcon/sec, 145.455
procs, 2, 	units, 45, 	weights, 4050, 	cycles, 40000, 	con_trav, 1.62e+08, 	secs, 0.88, 	mpisecs, 0.883185, 	Mcon/sec, 184.091
procs, 2, 	units, 50, 	weights, 5000, 	cycles, 40000, 	con_trav, 2e+08, 	secs, 0.84, 	mpisecs, 0.833412, 	Mcon/sec, 238.095
procs, 2, 	units, 55, 	weights, 6050, 	cycles, 40000, 	con_trav, 2.42e+08, 	secs, 0.83, 	mpisecs, 0.835834, 	Mcon/sec, 291.566
procs, 2, 	units, 60, 	weights, 7200, 	cycles, 40000, 	con_trav, 2.88e+08, 	secs, 0.83, 	mpisecs, 0.826165, 	Mcon/sec, 346.988
procs, 2, 	units, 65, 	weights, 8450, 	cycles, 40000, 	con_trav, 3.38e+08, 	secs, 0.82, 	mpisecs, 0.821891, 	Mcon/sec, 412.195
procs, 2, 	units, 70, 	weights, 9800, 	cycles, 40000, 	con_trav, 3.92e+08, 	secs, 0.87, 	mpisecs, 0.870424, 	Mcon/sec, 450.575
procs, 2, 	units, 75, 	weights, 11250, 	cycles, 40000, 	con_trav, 4.5e+08, 	secs, 0.9, 	mpisecs, 0.891666, 	Mcon/sec, 500
procs, 2, 	units, 80, 	weights, 12800, 	cycles, 40000, 	con_trav, 5.12e+08, 	secs, 0.91, 	mpisecs, 0.913957, 	Mcon/sec, 562.637
procs, 2, 	units, 85, 	weights, 14450, 	cycles, 40000, 	con_trav, 5.78e+08, 	secs, 0.93, 	mpisecs, 0.929539, 	Mcon/sec, 621.505
