procs, 2,       units, 220,     weights, 96800,         cycles, 40000,  con_trav, 3.872e+09,    secs, 28,       mpisecs, 27.9973,       Mcon/sec, 138.286
procs, 2,       units, 225,     weights, 101250,        cycles, 40000,  con_trav, 4.05e+09,     secs, 29.37,    mpisecs, 29.3641,       Mcon/sec, 137.896
procs, 2,       units, 230,     weights, 105800,        cycles, 40000,  con_trav, 4.232e+09,    secs, 30.7,     mpisecs, 30.6984,       Mcon/sec, 137.85
procs, 2,       units, 235,     weights, 110450,        cycles, 40000,  con_trav, 4.418e+09,    secs, 31.95,    mpisecs, 31.9519,       Mcon/sec, 138.279
procs, 2,       units, 240,     weights, 115200,        cycles, 40000,  con_trav, 4.608e+09,    secs, 33.33,    mpisecs, 33.3278,       Mcon/sec, 138.254
procs, 2,       units, 245,     weights, 120050,        cycles, 40000,  con_trav, 4.802e+09,    secs, 34.94,    mpisecs, 34.9393,       Mcon/sec, 137.436
procs, 2,       units, 250,     weights, 125000,        cycles, 40000,  con_trav, 5e+09,        secs, 36.2,     mpisecs, 36.1957,       Mcon/sec, 138.122
procs, 2,       units, 255,     weights, 130050,        cycles, 40000,  con_trav, 5.202e+09,    secs, 37.41,    mpisecs, 37.4047,       Mcon/sec, 139.054
procs, 2,       units, 260,     weights, 135200,        cycles, 40000,  con_trav, 5.408e+09,    secs, 39.08,    mpisecs, 39.0801,       Mcon/sec, 138.383
procs, 2,       units, 265,     weights, 140450,        cycles, 40000,  con_trav, 5.618e+09,    secs, 40.75,    mpisecs, 40.7502,       Mcon/sec, 137.865
procs, 2,       units, 270,     weights, 145800,        cycles, 40000,  con_trav, 5.832e+09,    secs, 42.33,    mpisecs, 42.3296,       Mcon/sec, 137.775
procs, 2,       units, 275,     weights, 151250,        cycles, 40000,  con_trav, 6.05e+09,     secs, 43.75,    mpisecs, 43.7444,       Mcon/sec, 138.286
procs, 2,       units, 280,     weights, 156800,        cycles, 40000,  con_trav, 6.272e+09,    secs, 45.38,    mpisecs, 45.3711,       Mcon/sec, 138.211
procs, 2,       units, 285,     weights, 162450,        cycles, 40000,  con_trav, 6.498e+09,    secs, 47.04,    mpisecs, 47.0322,       Mcon/sec, 138.138
procs, 2,       units, 290,     weights, 168200,        cycles, 40000,  con_trav, 6.728e+09,    secs, 48.33,    mpisecs, 48.3216,       Mcon/sec, 139.21
procs, 2,       units, 295,     weights, 174050,        cycles, 40000,  con_trav, 6.962e+09,    secs, 50.16,    mpisecs, 50.159,        Mcon/sec, 138.796
procs, 2,       units, 300,     weights, 180000,        cycles, 40000,  con_trav, 7.2e+09,      secs, 51.58,    mpisecs, 51.5783,       Mcon/sec, 139.589
procs, 2,       units, 305,     weights, 186050,        cycles, 40000,  con_trav, 7.442e+09,    secs, 53.46,    mpisecs, 53.4584,       Mcon/sec, 139.207
procs, 2,       units, 310,     weights, 192200,        cycles, 40000,  con_trav, 7.688e+09,    secs, 55.27,    mpisecs, 55.2644,       Mcon/sec, 139.099
procs, 2,       units, 315,     weights, 198450,        cycles, 40000,  con_trav, 7.938e+09,    secs, 56.95,    mpisecs, 56.9412,       Mcon/sec, 139.385
procs, 2,       units, 320,     weights, 204800,        cycles, 40000,  con_trav, 8.192e+09,    secs, 58.79,    mpisecs, 58.783,        Mcon/sec, 139.343
procs, 2,       units, 325,     weights, 211250,        cycles, 40000,  con_trav, 8.45e+09,     secs, 60.71,    mpisecs, 60.7047,       Mcon/sec, 139.186
procs, 2,       units, 330,     weights, 217800,        cycles, 40000,  con_trav, 8.712e+09,    secs, 61.86,    mpisecs, 61.8465,       Mcon/sec, 140.834
procs, 2,       units, 335,     weights, 224450,        cycles, 40000,  con_trav, 8.978e+09,    secs, 63.93,    mpisecs, 63.9244,       Mcon/sec, 140.435
procs, 2,       units, 340,     weights, 231200,        cycles, 40000,  con_trav, 9.248e+09,    secs, 64.88,    mpisecs, 64.8757,       Mcon/sec, 142.54
procs, 2,       units, 345,     weights, 238050,        cycles, 40000,  con_trav, 9.522e+09,    secs, 67.54,    mpisecs, 67.5273,       Mcon/sec, 140.983
procs, 2,       units, 350,     weights, 245000,        cycles, 40000,  con_trav, 9.8e+09,      secs, 69.63,    mpisecs, 69.6162,       Mcon/sec, 140.744
procs, 2,       units, 355,     weights, 252050,        cycles, 40000,  con_trav, 1.0082e+10,   secs, 71.41,    mpisecs, 71.4088,       Mcon/sec, 141.185
procs, 2,       units, 360,     weights, 259200,        cycles, 40000,  con_trav, 1.0368e+10,   secs, 73.1,     mpisecs, 73.09,         Mcon/sec, 141.833
procs, 2,       units, 365,     weights, 266450,        cycles, 40000,  con_trav, 1.0658e+10,   secs, 75.46,    mpisecs, 75.4522,       Mcon/sec, 141.24
procs, 2,       units, 370,     weights, 273800,        cycles, 40000,  con_trav, 1.0952e+10,   secs, 77.51,    mpisecs, 77.5061,       Mcon/sec, 141.298
procs, 2,       units, 375,     weights, 281250,        cycles, 40000,  con_trav, 1.125e+10,    secs, 79.36,    mpisecs, 79.3553,       Mcon/sec, 141.759
procs, 2,       units, 380,     weights, 288800,        cycles, 40000,  con_trav, 1.1552e+10,   secs, 81.31,    mpisecs, 81.3043,       Mcon/sec, 142.074
procs, 2,       units, 385,     weights, 296450,        cycles, 40000,  con_trav, 1.1858e+10,   secs, 83.43,    mpisecs, 83.4264,       Mcon/sec, 142.131
procs, 2,       units, 390,     weights, 304200,        cycles, 40000,  con_trav, 1.2168e+10,   secs, 85.28,    mpisecs, 85.2708,       Mcon/sec, 142.683
procs, 2,       units, 395,     weights, 312050,        cycles, 40000,  con_trav, 1.2482e+10,   secs, 87.44,    mpisecs, 87.4268,       Mcon/sec, 142.749
procs, 2,       units, 400,     weights, 320000,        cycles, 40000,  con_trav, 1.28e+10,     secs, 89.67,    mpisecs, 89.6676,       Mcon/sec, 142.746
procs, 2,       units, 405,     weights, 328050,        cycles, 40000,  con_trav, 1.3122e+10,   secs, 91.31,    mpisecs, 91.2975,       Mcon/sec, 143.708
procs, 2,       units, 410,     weights, 336200,        cycles, 40000,  con_trav, 1.3448e+10,   secs, 93.94,    mpisecs, 93.9286,       Mcon/sec, 143.155
procs, 2,       units, 415,     weights, 344450,        cycles, 40000,  con_trav, 1.3778e+10,   secs, 96.2,     mpisecs, 96.1854,       Mcon/sec, 143.222
procs, 2,       units, 420,     weights, 352800,        cycles, 40000,  con_trav, 1.4112e+10,   secs, 98.23,    mpisecs, 98.2175,       Mcon/sec, 143.663
procs, 2,       units, 425,     weights, 361250,        cycles, 40000,  con_trav, 1.445e+10,    secs, 100.64,   mpisecs, 100.633,       Mcon/sec, 143.581
procs, 2,       units, 430,     weights, 369800,        cycles, 40000,  con_trav, 1.4792e+10,   secs, 102.8,    mpisecs, 102.788,       Mcon/sec, 143.891
procs, 2,       units, 435,     weights, 378450,        cycles, 40000,  con_trav, 1.5138e+10,   secs, 104.88,   mpisecs, 104.872,       Mcon/sec, 144.336
procs, 2,       units, 440,     weights, 387200,        cycles, 40000,  con_trav, 1.5488e+10,   secs, 107.33,   mpisecs, 107.314,       Mcon/sec, 144.303
procs, 2,       units, 445,     weights, 396050,        cycles, 40000,  con_trav, 1.5842e+10,   secs, 109.7,    mpisecs, 109.689,       Mcon/sec, 144.412
procs, 2,       units, 450,     weights, 405000,        cycles, 40000,  con_trav, 1.62e+10,     secs, 112.23,   mpisecs, 112.219,       Mcon/sec, 144.346
procs, 2,       units, 455,     weights, 414050,        cycles, 40000,  con_trav, 1.6562e+10,   secs, 114.33,   mpisecs, 114.316,       Mcon/sec, 144.861
procs, 2,       units, 460,     weights, 423200,        cycles, 40000,  con_trav, 1.6928e+10,   secs, 116.47,   mpisecs, 116.457,       Mcon/sec, 145.342
procs, 2,       units, 465,     weights, 432450,        cycles, 40000,  con_trav, 1.7298e+10,   secs, 119.12,   mpisecs, 119.102,       Mcon/sec, 145.215
procs, 2,       units, 470,     weights, 441800,        cycles, 40000,  con_trav, 1.7672e+10,   secs, 121.6,    mpisecs, 121.584,       Mcon/sec, 145.329
procs, 2,       units, 475,     weights, 451250,        cycles, 40000,  con_trav, 1.805e+10,    secs, 124.11,   mpisecs, 124.099,       Mcon/sec, 145.436
procs, 2,       units, 480,     weights, 460800,        cycles, 40000,  con_trav, 1.8432e+10,   secs, 126.46,   mpisecs, 126.45,        Mcon/sec, 145.754
procs, 2,       units, 485,     weights, 470450,        cycles, 40000,  con_trav, 1.8818e+10,   secs, 129.58,   mpisecs, 129.565,       Mcon/sec, 145.223
procs, 2,       units, 490,     weights, 480200,        cycles, 40000,  con_trav, 1.9208e+10,   secs, 131.73,   mpisecs, 131.725,       Mcon/sec, 145.813
procs, 2,       units, 495,     weights, 490050,        cycles, 40000,  con_trav, 1.9602e+10,   secs, 134.41,   mpisecs, 134.399,       Mcon/sec, 145.837
