procs, 4, 	units, 20, 	weights, 800, 	cycles, 40000, 	con_trav, 3.2e+07, 	secs, 1.53, 	mpisecs, 1.53729, 	Mcon/sec, 20.915
procs, 4, 	units, 25, 	weights, 1250, 	cycles, 40000, 	con_trav, 5e+07, 	secs, 1.67, 	mpisecs, 1.66207, 	Mcon/sec, 29.9401
procs, 4, 	units, 30, 	weights, 1800, 	cycles, 40000, 	con_trav, 7.2e+07, 	secs, 1.67, 	mpisecs, 1.66804, 	Mcon/sec, 43.1138
procs, 4, 	units, 35, 	weights, 2450, 	cycles, 40000, 	con_trav, 9.8e+07, 	secs, 1.69, 	mpisecs, 1.68762, 	Mcon/sec, 57.9882
procs, 4, 	units, 40, 	weights, 3200, 	cycles, 40000, 	con_trav, 1.28e+08, 	secs, 1.71, 	mpisecs, 1.70288, 	Mcon/sec, 74.8538
procs, 4, 	units, 45, 	weights, 4050, 	cycles, 40000, 	con_trav, 1.62e+08, 	secs, 1.68, 	mpisecs, 1.67817, 	Mcon/sec, 96.4286
procs, 4, 	units, 50, 	weights, 5000, 	cycles, 40000, 	con_trav, 2e+08, 	secs, 1.88, 	mpisecs, 1.88224, 	Mcon/sec, 106.383
procs, 4, 	units, 55, 	weights, 6050, 	cycles, 40000, 	con_trav, 2.42e+08, 	secs, 1.84, 	mpisecs, 1.83428, 	Mcon/sec, 131.522
procs, 4, 	units, 60, 	weights, 7200, 	cycles, 40000, 	con_trav, 2.88e+08, 	secs, 1.86, 	mpisecs, 1.85507, 	Mcon/sec, 154.839
procs, 4, 	units, 65, 	weights, 8450, 	cycles, 40000, 	con_trav, 3.38e+08, 	secs, 1.86, 	mpisecs, 1.85791, 	Mcon/sec, 181.72
procs, 4, 	units, 70, 	weights, 9800, 	cycles, 40000, 	con_trav, 3.92e+08, 	secs, 1.92, 	mpisecs, 1.91511, 	Mcon/sec, 204.167
procs, 4, 	units, 75, 	weights, 11250, 	cycles, 40000, 	con_trav, 4.5e+08, 	secs, 1.91, 	mpisecs, 1.90947, 	Mcon/sec, 235.602
procs, 4, 	units, 80, 	weights, 12800, 	cycles, 40000, 	con_trav, 5.12e+08, 	secs, 1.89, 	mpisecs, 1.88971, 	Mcon/sec, 270.899
procs, 4, 	units, 85, 	weights, 14450, 	cycles, 40000, 	con_trav, 5.78e+08, 	secs, 1.89, 	mpisecs, 1.88589, 	Mcon/sec, 305.82
procs, 4, 	units, 90, 	weights, 16200, 	cycles, 40000, 	con_trav, 6.48e+08, 	secs, 1.93, 	mpisecs, 1.92975, 	Mcon/sec, 335.751
procs, 4, 	units, 95, 	weights, 18050, 	cycles, 40000, 	con_trav, 7.22e+08, 	secs, 1.95, 	mpisecs, 1.95341, 	Mcon/sec, 370.256
procs, 4, 	units, 100, 	weights, 20000, 	cycles, 40000, 	con_trav, 8e+08, 	secs, 1.98, 	mpisecs, 1.97035, 	Mcon/sec, 404.04
