procs, 1, 	units, 200, 	weights, 80000, 	cycles, 40000, 	con_trav, 3.2e+09, 	secs, 44.64, 	mpisecs, 44.6289, 	Mcon/sec, 71.6846
procs, 1, 	units, 205, 	weights, 84050, 	cycles, 40000, 	con_trav, 3.362e+09, 	secs, 46.85, 	mpisecs, 46.8454, 	Mcon/sec, 71.7609
procs, 1, 	units, 210, 	weights, 88200, 	cycles, 40000, 	con_trav, 3.528e+09, 	secs, 49.13, 	mpisecs, 49.1271, 	Mcon/sec, 71.8095
procs, 1, 	units, 215, 	weights, 92450, 	cycles, 40000, 	con_trav, 3.698e+09, 	secs, 51.88, 	mpisecs, 51.8691, 	Mcon/sec, 71.2799
procs, 1, 	units, 220, 	weights, 96800, 	cycles, 40000, 	con_trav, 3.872e+09, 	secs, 53.82, 	mpisecs, 53.8051, 	Mcon/sec, 71.9435
procs, 1, 	units, 225, 	weights, 101250, 	cycles, 40000, 	con_trav, 4.05e+09, 	secs, 56.39, 	mpisecs, 56.3788, 	Mcon/sec, 71.8212
procs, 1, 	units, 230, 	weights, 105800, 	cycles, 40000, 	con_trav, 4.232e+09, 	secs, 59.1, 	mpisecs, 59.0947, 	Mcon/sec, 71.6074
procs, 1, 	units, 235, 	weights, 110450, 	cycles, 40000, 	con_trav, 4.418e+09, 	secs, 61.57, 	mpisecs, 61.569, 	Mcon/sec, 71.7557
procs, 1, 	units, 240, 	weights, 115200, 	cycles, 40000, 	con_trav, 4.608e+09, 	secs, 63.95, 	mpisecs, 63.9371, 	Mcon/sec, 72.0563
procs, 1, 	units, 245, 	weights, 120050, 	cycles, 40000, 	con_trav, 4.802e+09, 	secs, 65.99, 	mpisecs, 65.9897, 	Mcon/sec, 72.7686
procs, 1, 	units, 250, 	weights, 125000, 	cycles, 40000, 	con_trav, 5e+09, 	secs, 68.97, 	mpisecs, 68.9669, 	Mcon/sec, 72.4953
procs, 1, 	units, 255, 	weights, 130050, 	cycles, 40000, 	con_trav, 5.202e+09, 	secs, 71.87, 	mpisecs, 71.8591, 	Mcon/sec, 72.3807
procs, 1, 	units, 260, 	weights, 135200, 	cycles, 40000, 	con_trav, 5.408e+09, 	secs, 74.83, 	mpisecs, 74.8236, 	Mcon/sec, 72.2705
procs, 1, 	units, 265, 	weights, 140450, 	cycles, 40000, 	con_trav, 5.618e+09, 	secs, 77.61, 	mpisecs, 77.6088, 	Mcon/sec, 72.3876
procs, 1, 	units, 270, 	weights, 145800, 	cycles, 40000, 	con_trav, 5.832e+09, 	secs, 80.48, 	mpisecs, 80.4759, 	Mcon/sec, 72.4652
procs, 1, 	units, 275, 	weights, 151250, 	cycles, 40000, 	con_trav, 6.05e+09, 	secs, 83.4, 	mpisecs, 83.3967, 	Mcon/sec, 72.542
procs, 1, 	units, 280, 	weights, 156800, 	cycles, 40000, 	con_trav, 6.272e+09, 	secs, 86.23, 	mpisecs, 86.2161, 	Mcon/sec, 72.7357
procs, 1, 	units, 285, 	weights, 162450, 	cycles, 40000, 	con_trav, 6.498e+09, 	secs, 89.34, 	mpisecs, 89.3278, 	Mcon/sec, 72.7334
procs, 1, 	units, 290, 	weights, 168200, 	cycles, 40000, 	con_trav, 6.728e+09, 	secs, 92.09, 	mpisecs, 92.0823, 	Mcon/sec, 73.059
procs, 1, 	units, 295, 	weights, 174050, 	cycles, 40000, 	con_trav, 6.962e+09, 	secs, 95.23, 	mpisecs, 95.2231, 	Mcon/sec, 73.1072
procs, 1, 	units, 300, 	weights, 180000, 	cycles, 40000, 	con_trav, 7.2e+09, 	secs, 98.4, 	mpisecs, 98.3911, 	Mcon/sec, 73.1707
procs, 1, 	units, 305, 	weights, 186050, 	cycles, 40000, 	con_trav, 7.442e+09, 	secs, 101.69, 	mpisecs, 101.674, 	Mcon/sec, 73.1832
procs, 1, 	units, 310, 	weights, 192200, 	cycles, 40000, 	con_trav, 7.688e+09, 	secs, 105.13, 	mpisecs, 105.118, 	Mcon/sec, 73.1285
procs, 1, 	units, 315, 	weights, 198450, 	cycles, 40000, 	con_trav, 7.938e+09, 	secs, 108.49, 	mpisecs, 108.484, 	Mcon/sec, 73.168
procs, 1, 	units, 320, 	weights, 204800, 	cycles, 40000, 	con_trav, 8.192e+09, 	secs, 111.74, 	mpisecs, 111.728, 	Mcon/sec, 73.313
procs, 1, 	units, 325, 	weights, 211250, 	cycles, 40000, 	con_trav, 8.45e+09, 	secs, 114.49, 	mpisecs, 114.476, 	Mcon/sec, 73.8056
procs, 1, 	units, 330, 	weights, 217800, 	cycles, 40000, 	con_trav, 8.712e+09, 	secs, 117.54, 	mpisecs, 117.519, 	Mcon/sec, 74.1194
procs, 1, 	units, 335, 	weights, 224450, 	cycles, 40000, 	con_trav, 8.978e+09, 	secs, 121.83, 	mpisecs, 121.813, 	Mcon/sec, 73.6929
procs, 1, 	units, 340, 	weights, 231200, 	cycles, 40000, 	con_trav, 9.248e+09, 	secs, 125.29, 	mpisecs, 125.276, 	Mcon/sec, 73.8128
procs, 1, 	units, 345, 	weights, 238050, 	cycles, 40000, 	con_trav, 9.522e+09, 	secs, 128.8, 	mpisecs, 128.784, 	Mcon/sec, 73.9286
procs, 1, 	units, 350, 	weights, 245000, 	cycles, 40000, 	con_trav, 9.8e+09, 	secs, 132.72, 	mpisecs, 132.707, 	Mcon/sec, 73.8397
procs, 1, 	units, 355, 	weights, 252050, 	cycles, 40000, 	con_trav, 1.0082e+10, 	secs, 136.24, 	mpisecs, 136.231, 	Mcon/sec, 74.0018
procs, 1, 	units, 360, 	weights, 259200, 	cycles, 40000, 	con_trav, 1.0368e+10, 	secs, 139.96, 	mpisecs, 139.943, 	Mcon/sec, 74.0783
procs, 1, 	units, 365, 	weights, 266450, 	cycles, 40000, 	con_trav, 1.0658e+10, 	secs, 143.64, 	mpisecs, 143.624, 	Mcon/sec, 74.1994
procs, 1, 	units, 370, 	weights, 273800, 	cycles, 40000, 	con_trav, 1.0952e+10, 	secs, 147.3, 	mpisecs, 147.289, 	Mcon/sec, 74.3517
procs, 1, 	units, 375, 	weights, 281250, 	cycles, 40000, 	con_trav, 1.125e+10, 	secs, 151.4, 	mpisecs, 151.379, 	Mcon/sec, 74.3065
procs, 1, 	units, 380, 	weights, 288800, 	cycles, 40000, 	con_trav, 1.1552e+10, 	secs, 155.02, 	mpisecs, 155.004, 	Mcon/sec, 74.5194
procs, 1, 	units, 385, 	weights, 296450, 	cycles, 40000, 	con_trav, 1.1858e+10, 	secs, 159.28, 	mpisecs, 159.257, 	Mcon/sec, 74.4475
procs, 1, 	units, 390, 	weights, 304200, 	cycles, 40000, 	con_trav, 1.2168e+10, 	secs, 163.13, 	mpisecs, 163.121, 	Mcon/sec, 74.5908
procs, 1, 	units, 395, 	weights, 312050, 	cycles, 40000, 	con_trav, 1.2482e+10, 	secs, 167.47, 	mpisecs, 167.458, 	Mcon/sec, 74.5328
procs, 1, 	units, 400, 	weights, 320000, 	cycles, 40000, 	con_trav, 1.28e+10, 	secs, 171.67, 	mpisecs, 171.661, 	Mcon/sec, 74.5617
procs, 1, 	units, 405, 	weights, 328050, 	cycles, 40000, 	con_trav, 1.3122e+10, 	secs, 174.4, 	mpisecs, 174.386, 	Mcon/sec, 75.2408
procs, 1, 	units, 410, 	weights, 336200, 	cycles, 40000, 	con_trav, 1.3448e+10, 	secs, 178.58, 	mpisecs, 178.555, 	Mcon/sec, 75.3052
procs, 1, 	units, 415, 	weights, 344450, 	cycles, 40000, 	con_trav, 1.3778e+10, 	secs, 184.06, 	mpisecs, 184.037, 	Mcon/sec, 74.856
procs, 1, 	units, 420, 	weights, 352800, 	cycles, 40000, 	con_trav, 1.4112e+10, 	secs, 188.13, 	mpisecs, 188.118, 	Mcon/sec, 75.012
procs, 1, 	units, 425, 	weights, 361250, 	cycles, 40000, 	con_trav, 1.445e+10, 	secs, 192.66, 	mpisecs, 192.645, 	Mcon/sec, 75.0026
procs, 1, 	units, 430, 	weights, 369800, 	cycles, 40000, 	con_trav, 1.4792e+10, 	secs, 197.06, 	mpisecs, 197.033, 	Mcon/sec, 75.0634
procs, 1, 	units, 435, 	weights, 378450, 	cycles, 40000, 	con_trav, 1.5138e+10, 	secs, 201.66, 	mpisecs, 201.641, 	Mcon/sec, 75.0669
procs, 1, 	units, 440, 	weights, 387200, 	cycles, 40000, 	con_trav, 1.5488e+10, 	secs, 205.96, 	mpisecs, 205.944, 	Mcon/sec, 75.1991
