procs, 4, 	units, 20, 	weights, 800, 	cycles, 40000, 	con_trav, 3.2e+07, 	secs, 1.7, 	mpisecs, 1.70064, 	Mcon/sec, 18.8235
procs, 4, 	units, 25, 	weights, 1250, 	cycles, 40000, 	con_trav, 5e+07, 	secs, 2.05, 	mpisecs, 2.04468, 	Mcon/sec, 24.3902
procs, 4, 	units, 30, 	weights, 1800, 	cycles, 40000, 	con_trav, 7.2e+07, 	secs, 2.17, 	mpisecs, 2.1713, 	Mcon/sec, 33.1797
procs, 4, 	units, 35, 	weights, 2450, 	cycles, 40000, 	con_trav, 9.8e+07, 	secs, 2.33, 	mpisecs, 2.32324, 	Mcon/sec, 42.0601
procs, 4, 	units, 40, 	weights, 3200, 	cycles, 40000, 	con_trav, 1.28e+08, 	secs, 2.5, 	mpisecs, 2.49897, 	Mcon/sec, 51.2
procs, 4, 	units, 45, 	weights, 4050, 	cycles, 40000, 	con_trav, 1.62e+08, 	secs, 2.62, 	mpisecs, 2.62887, 	Mcon/sec, 61.8321
procs, 4, 	units, 50, 	weights, 5000, 	cycles, 40000, 	con_trav, 2e+08, 	secs, 2.89, 	mpisecs, 2.88983, 	Mcon/sec, 69.2042
procs, 4, 	units, 55, 	weights, 6050, 	cycles, 40000, 	con_trav, 2.42e+08, 	secs, 3.06, 	mpisecs, 3.05772, 	Mcon/sec, 79.085
procs, 4, 	units, 60, 	weights, 7200, 	cycles, 40000, 	con_trav, 2.88e+08, 	secs, 3.26, 	mpisecs, 3.26499, 	Mcon/sec, 88.3436
procs, 4, 	units, 65, 	weights, 8450, 	cycles, 40000, 	con_trav, 3.38e+08, 	secs, 3.48, 	mpisecs, 3.47532, 	Mcon/sec, 97.1264
procs, 4, 	units, 70, 	weights, 9800, 	cycles, 40000, 	con_trav, 3.92e+08, 	secs, 3.69, 	mpisecs, 3.68611, 	Mcon/sec, 106.233
procs, 4, 	units, 75, 	weights, 11250, 	cycles, 40000, 	con_trav, 4.5e+08, 	secs, 3.88, 	mpisecs, 3.87934, 	Mcon/sec, 115.979
procs, 4, 	units, 80, 	weights, 12800, 	cycles, 40000, 	con_trav, 5.12e+08, 	secs, 4.15, 	mpisecs, 4.153, 	Mcon/sec, 123.373
procs, 4, 	units, 85, 	weights, 14450, 	cycles, 40000, 	con_trav, 5.78e+08, 	secs, 4.39, 	mpisecs, 4.39546, 	Mcon/sec, 131.663
procs, 4, 	units, 90, 	weights, 16200, 	cycles, 40000, 	con_trav, 6.48e+08, 	secs, 4.65, 	mpisecs, 4.65901, 	Mcon/sec, 139.355
procs, 4, 	units, 95, 	weights, 18050, 	cycles, 40000, 	con_trav, 7.22e+08, 	secs, 4.96, 	mpisecs, 4.95976, 	Mcon/sec, 145.565
procs, 4, 	units, 100, 	weights, 20000, 	cycles, 40000, 	con_trav, 8e+08, 	secs, 5.27, 	mpisecs, 5.26835, 	Mcon/sec, 151.803
procs, 4, 	units, 105, 	weights, 22050, 	cycles, 40000, 	con_trav, 8.82e+08, 	secs, 5.51, 	mpisecs, 5.51334, 	Mcon/sec, 160.073
procs, 4, 	units, 110, 	weights, 24200, 	cycles, 40000, 	con_trav, 9.68e+08, 	secs, 5.84, 	mpisecs, 5.84866, 	Mcon/sec, 165.753
procs, 4, 	units, 115, 	weights, 26450, 	cycles, 40000, 	con_trav, 1.058e+09, 	secs, 6.28, 	mpisecs, 6.28233, 	Mcon/sec, 168.471
procs, 4, 	units, 120, 	weights, 28800, 	cycles, 40000, 	con_trav, 1.152e+09, 	secs, 6.58, 	mpisecs, 6.58183, 	Mcon/sec, 175.076
procs, 4, 	units, 125, 	weights, 31250, 	cycles, 40000, 	con_trav, 1.25e+09, 	secs, 6.92, 	mpisecs, 6.92036, 	Mcon/sec, 180.636
procs, 4, 	units, 130, 	weights, 33800, 	cycles, 40000, 	con_trav, 1.352e+09, 	secs, 7.28, 	mpisecs, 7.27773, 	Mcon/sec, 185.714
procs, 4, 	units, 135, 	weights, 36450, 	cycles, 40000, 	con_trav, 1.458e+09, 	secs, 7.66, 	mpisecs, 7.66301, 	Mcon/sec, 190.339
procs, 4, 	units, 140, 	weights, 39200, 	cycles, 40000, 	con_trav, 1.568e+09, 	secs, 8.03, 	mpisecs, 8.02726, 	Mcon/sec, 195.268
procs, 4, 	units, 145, 	weights, 42050, 	cycles, 40000, 	con_trav, 1.682e+09, 	secs, 8.46, 	mpisecs, 8.45825, 	Mcon/sec, 198.818
procs, 4, 	units, 150, 	weights, 45000, 	cycles, 40000, 	con_trav, 1.8e+09, 	secs, 8.86, 	mpisecs, 8.85154, 	Mcon/sec, 203.16
procs, 4, 	units, 155, 	weights, 48050, 	cycles, 40000, 	con_trav, 1.922e+09, 	secs, 9.24, 	mpisecs, 9.24533, 	Mcon/sec, 208.009
procs, 4, 	units, 160, 	weights, 51200, 	cycles, 40000, 	con_trav, 2.048e+09, 	secs, 9.7, 	mpisecs, 9.69975, 	Mcon/sec, 211.134
procs, 4, 	units, 165, 	weights, 54450, 	cycles, 40000, 	con_trav, 2.178e+09, 	secs, 10.18, 	mpisecs, 10.179, 	Mcon/sec, 213.949
procs, 4, 	units, 170, 	weights, 57800, 	cycles, 40000, 	con_trav, 2.312e+09, 	secs, 10.57, 	mpisecs, 10.5738, 	Mcon/sec, 218.732
procs, 4, 	units, 175, 	weights, 61250, 	cycles, 40000, 	con_trav, 2.45e+09, 	secs, 11.05, 	mpisecs, 11.0567, 	Mcon/sec, 221.719
procs, 4, 	units, 180, 	weights, 64800, 	cycles, 40000, 	con_trav, 2.592e+09, 	secs, 11.47, 	mpisecs, 11.4707, 	Mcon/sec, 225.981
procs, 4, 	units, 185, 	weights, 68450, 	cycles, 40000, 	con_trav, 2.738e+09, 	secs, 12.13, 	mpisecs, 12.1342, 	Mcon/sec, 225.721
procs, 4, 	units, 190, 	weights, 72200, 	cycles, 40000, 	con_trav, 2.888e+09, 	secs, 12.77, 	mpisecs, 12.7693, 	Mcon/sec, 226.155
procs, 4, 	units, 195, 	weights, 76050, 	cycles, 40000, 	con_trav, 3.042e+09, 	secs, 13.2, 	mpisecs, 13.1906, 	Mcon/sec, 230.455
procs, 4, 	units, 200, 	weights, 80000, 	cycles, 40000, 	con_trav, 3.2e+09, 	secs, 13.61, 	mpisecs, 13.6101, 	Mcon/sec, 235.121
procs, 4, 	units, 205, 	weights, 84050, 	cycles, 40000, 	con_trav, 3.362e+09, 	secs, 14.24, 	mpisecs, 14.2374, 	Mcon/sec, 236.096
procs, 4, 	units, 210, 	weights, 88200, 	cycles, 40000, 	con_trav, 3.528e+09, 	secs, 14.91, 	mpisecs, 14.9082, 	Mcon/sec, 236.62
procs, 4, 	units, 215, 	weights, 92450, 	cycles, 40000, 	con_trav, 3.698e+09, 	secs, 15.47, 	mpisecs, 15.4693, 	Mcon/sec, 239.043
procs, 4, 	units, 220, 	weights, 96800, 	cycles, 40000, 	con_trav, 3.872e+09, 	secs, 16.06, 	mpisecs, 16.0576, 	Mcon/sec, 241.096
procs, 4, 	units, 225, 	weights, 101250, 	cycles, 40000, 	con_trav, 4.05e+09, 	secs, 16.81, 	mpisecs, 16.8029, 	Mcon/sec, 240.928
procs, 4, 	units, 230, 	weights, 105800, 	cycles, 40000, 	con_trav, 4.232e+09, 	secs, 17.54, 	mpisecs, 17.5332, 	Mcon/sec, 241.277
procs, 4, 	units, 235, 	weights, 110450, 	cycles, 40000, 	con_trav, 4.418e+09, 	secs, 18.09, 	mpisecs, 18.0881, 	Mcon/sec, 244.223
