procs, 16, 	units, 205, 	weights, 84050, 	cycles, 40000, 	con_trav, 3.362e+09, 	secs, 8.95, 	mpisecs, 8.94894, 	Mcon/sec, 375.642
procs, 16, 	units, 210, 	weights, 88200, 	cycles, 40000, 	con_trav, 3.528e+09, 	secs, 9.12, 	mpisecs, 9.11262, 	Mcon/sec, 386.842
procs, 16, 	units, 215, 	weights, 92450, 	cycles, 40000, 	con_trav, 3.698e+09, 	secs, 9.29, 	mpisecs, 9.28891, 	Mcon/sec, 398.062
procs, 16, 	units, 220, 	weights, 96800, 	cycles, 40000, 	con_trav, 3.872e+09, 	secs, 9.47, 	mpisecs, 9.47576, 	Mcon/sec, 408.87
procs, 16, 	units, 225, 	weights, 101250, 	cycles, 40000, 	con_trav, 4.05e+09, 	secs, 9.74, 	mpisecs, 9.74238, 	Mcon/sec, 415.811
procs, 16, 	units, 230, 	weights, 105800, 	cycles, 40000, 	con_trav, 4.232e+09, 	secs, 10.01, 	mpisecs, 10.0111, 	Mcon/sec, 422.777
procs, 16, 	units, 235, 	weights, 110450, 	cycles, 40000, 	con_trav, 4.418e+09, 	secs, 10.15, 	mpisecs, 10.1568, 	Mcon/sec, 435.271
procs, 16, 	units, 240, 	weights, 115200, 	cycles, 40000, 	con_trav, 4.608e+09, 	secs, 10.35, 	mpisecs, 10.3486, 	Mcon/sec, 445.217
procs, 16, 	units, 245, 	weights, 120050, 	cycles, 40000, 	con_trav, 4.802e+09, 	secs, 10.64, 	mpisecs, 10.6373, 	Mcon/sec, 451.316
procs, 16, 	units, 250, 	weights, 125000, 	cycles, 40000, 	con_trav, 5e+09, 	secs, 10.86, 	mpisecs, 10.8576, 	Mcon/sec, 460.405
procs, 16, 	units, 255, 	weights, 130050, 	cycles, 40000, 	con_trav, 5.202e+09, 	secs, 11.01, 	mpisecs, 11.0091, 	Mcon/sec, 472.48
procs, 16, 	units, 260, 	weights, 135200, 	cycles, 40000, 	con_trav, 5.408e+09, 	secs, 11.28, 	mpisecs, 11.275, 	Mcon/sec, 479.433
procs, 16, 	units, 265, 	weights, 140450, 	cycles, 40000, 	con_trav, 5.618e+09, 	secs, 11.47, 	mpisecs, 11.4658, 	Mcon/sec, 489.799
procs, 16, 	units, 270, 	weights, 145800, 	cycles, 40000, 	con_trav, 5.832e+09, 	secs, 11.7, 	mpisecs, 11.6992, 	Mcon/sec, 498.462
procs, 16, 	units, 275, 	weights, 151250, 	cycles, 40000, 	con_trav, 6.05e+09, 	secs, 11.94, 	mpisecs, 11.9452, 	Mcon/sec, 506.7
procs, 16, 	units, 280, 	weights, 156800, 	cycles, 40000, 	con_trav, 6.272e+09, 	secs, 12.15, 	mpisecs, 12.1507, 	Mcon/sec, 516.214
procs, 16, 	units, 285, 	weights, 162450, 	cycles, 40000, 	con_trav, 6.498e+09, 	secs, 12.39, 	mpisecs, 12.3937, 	Mcon/sec, 524.455
procs, 16, 	units, 290, 	weights, 168200, 	cycles, 40000, 	con_trav, 6.728e+09, 	secs, 12.64, 	mpisecs, 12.6448, 	Mcon/sec, 532.278
procs, 16, 	units, 295, 	weights, 174050, 	cycles, 40000, 	con_trav, 6.962e+09, 	secs, 12.91, 	mpisecs, 12.9144, 	Mcon/sec, 539.272
procs, 16, 	units, 300, 	weights, 180000, 	cycles, 40000, 	con_trav, 7.2e+09, 	secs, 13.18, 	mpisecs, 13.1702, 	Mcon/sec, 546.282
procs, 16, 	units, 305, 	weights, 186050, 	cycles, 40000, 	con_trav, 7.442e+09, 	secs, 13.38, 	mpisecs, 13.3813, 	Mcon/sec, 556.203
procs, 16, 	units, 310, 	weights, 192200, 	cycles, 40000, 	con_trav, 7.688e+09, 	secs, 13.66, 	mpisecs, 13.652, 	Mcon/sec, 562.811
procs, 16, 	units, 315, 	weights, 198450, 	cycles, 40000, 	con_trav, 7.938e+09, 	secs, 13.93, 	mpisecs, 13.9196, 	Mcon/sec, 569.849
procs, 16, 	units, 320, 	weights, 204800, 	cycles, 40000, 	con_trav, 8.192e+09, 	secs, 14.14, 	mpisecs, 14.1301, 	Mcon/sec, 579.349
procs, 16, 	units, 325, 	weights, 211250, 	cycles, 40000, 	con_trav, 8.45e+09, 	secs, 14.45, 	mpisecs, 14.4476, 	Mcon/sec, 584.775
procs, 16, 	units, 330, 	weights, 217800, 	cycles, 40000, 	con_trav, 8.712e+09, 	secs, 14.66, 	mpisecs, 14.662, 	Mcon/sec, 594.27
procs, 16, 	units, 335, 	weights, 224450, 	cycles, 40000, 	con_trav, 8.978e+09, 	secs, 14.93, 	mpisecs, 14.9246, 	Mcon/sec, 601.34
procs, 16, 	units, 340, 	weights, 231200, 	cycles, 40000, 	con_trav, 9.248e+09, 	secs, 15.32, 	mpisecs, 15.3189, 	Mcon/sec, 603.655
procs, 16, 	units, 345, 	weights, 238050, 	cycles, 40000, 	con_trav, 9.522e+09, 	secs, 15.59, 	mpisecs, 15.5832, 	Mcon/sec, 610.776
procs, 16, 	units, 350, 	weights, 245000, 	cycles, 40000, 	con_trav, 9.8e+09, 	secs, 15.88, 	mpisecs, 15.8786, 	Mcon/sec, 617.128
