procs, 16, 	units, 20, 	weights, 800, 	cycles, 40000, 	con_trav, 3.2e+07, 	secs, 3.33, 	mpisecs, 3.32692, 	Mcon/sec, 9.60961
procs, 16, 	units, 25, 	weights, 1250, 	cycles, 40000, 	con_trav, 5e+07, 	secs, 3.34, 	mpisecs, 3.3387, 	Mcon/sec, 14.9701
procs, 16, 	units, 30, 	weights, 1800, 	cycles, 40000, 	con_trav, 7.2e+07, 	secs, 3.33, 	mpisecs, 3.33176, 	Mcon/sec, 21.6216
procs, 16, 	units, 35, 	weights, 2450, 	cycles, 40000, 	con_trav, 9.8e+07, 	secs, 3.36, 	mpisecs, 3.36355, 	Mcon/sec, 29.1667
procs, 16, 	units, 40, 	weights, 3200, 	cycles, 40000, 	con_trav, 1.28e+08, 	secs, 3.36, 	mpisecs, 3.35326, 	Mcon/sec, 38.0952
procs, 16, 	units, 45, 	weights, 4050, 	cycles, 40000, 	con_trav, 1.62e+08, 	secs, 3.36, 	mpisecs, 3.35348, 	Mcon/sec, 48.2143
procs, 16, 	units, 50, 	weights, 5000, 	cycles, 40000, 	con_trav, 2e+08, 	secs, 3.54, 	mpisecs, 3.54685, 	Mcon/sec, 56.4972
procs, 16, 	units, 55, 	weights, 6050, 	cycles, 40000, 	con_trav, 2.42e+08, 	secs, 3.54, 	mpisecs, 3.53821, 	Mcon/sec, 68.3616
procs, 16, 	units, 60, 	weights, 7200, 	cycles, 40000, 	con_trav, 2.88e+08, 	secs, 3.54, 	mpisecs, 3.5393, 	Mcon/sec, 81.3559
procs, 16, 	units, 65, 	weights, 8450, 	cycles, 40000, 	con_trav, 3.38e+08, 	secs, 3.59, 	mpisecs, 3.59081, 	Mcon/sec, 94.1504
procs, 16, 	units, 70, 	weights, 9800, 	cycles, 40000, 	con_trav, 3.92e+08, 	secs, 3.59, 	mpisecs, 3.58985, 	Mcon/sec, 109.192
procs, 16, 	units, 75, 	weights, 11250, 	cycles, 40000, 	con_trav, 4.5e+08, 	secs, 3.6, 	mpisecs, 3.59576, 	Mcon/sec, 125
procs, 16, 	units, 80, 	weights, 12800, 	cycles, 40000, 	con_trav, 5.12e+08, 	secs, 3.58, 	mpisecs, 3.5846, 	Mcon/sec, 143.017
procs, 16, 	units, 85, 	weights, 14450, 	cycles, 40000, 	con_trav, 5.78e+08, 	secs, 3.61, 	mpisecs, 3.61401, 	Mcon/sec, 160.111
procs, 16, 	units, 90, 	weights, 16200, 	cycles, 40000, 	con_trav, 6.48e+08, 	secs, 3.61, 	mpisecs, 3.61746, 	Mcon/sec, 179.501
procs, 16, 	units, 95, 	weights, 18050, 	cycles, 40000, 	con_trav, 7.22e+08, 	secs, 3.62, 	mpisecs, 3.62166, 	Mcon/sec, 199.448
procs, 16, 	units, 100, 	weights, 20000, 	cycles, 40000, 	con_trav, 8e+08, 	secs, 3.85, 	mpisecs, 3.8464, 	Mcon/sec, 207.792
procs, 16, 	units, 105, 	weights, 22050, 	cycles, 40000, 	con_trav, 8.82e+08, 	secs, 3.84, 	mpisecs, 3.83861, 	Mcon/sec, 229.688
procs, 16, 	units, 110, 	weights, 24200, 	cycles, 40000, 	con_trav, 9.68e+08, 	secs, 3.84, 	mpisecs, 3.83631, 	Mcon/sec, 252.083
procs, 16, 	units, 115, 	weights, 26450, 	cycles, 40000, 	con_trav, 1.058e+09, 	secs, 3.93, 	mpisecs, 3.92327, 	Mcon/sec, 269.211
procs, 16, 	units, 120, 	weights, 28800, 	cycles, 40000, 	con_trav, 1.152e+09, 	secs, 3.93, 	mpisecs, 3.92943, 	Mcon/sec, 293.13
procs, 16, 	units, 125, 	weights, 31250, 	cycles, 40000, 	con_trav, 1.25e+09, 	secs, 3.93, 	mpisecs, 3.93614, 	Mcon/sec, 318.066
procs, 16, 	units, 130, 	weights, 33800, 	cycles, 40000, 	con_trav, 1.352e+09, 	secs, 3.99, 	mpisecs, 3.98392, 	Mcon/sec, 338.847
procs, 16, 	units, 135, 	weights, 36450, 	cycles, 40000, 	con_trav, 1.458e+09, 	secs, 3.97, 	mpisecs, 3.97788, 	Mcon/sec, 367.254
procs, 16, 	units, 140, 	weights, 39200, 	cycles, 40000, 	con_trav, 1.568e+09, 	secs, 3.99, 	mpisecs, 3.98625, 	Mcon/sec, 392.982
