procs, 8, 	units, 20, 	weights, 800, 	cycles, 40000, 	con_trav, 3.2e+07, 	secs, 2.49, 	mpisecs, 2.49228, 	Mcon/sec, 12.8514
procs, 8, 	units, 25, 	weights, 1250, 	cycles, 40000, 	con_trav, 5e+07, 	secs, 2.8, 	mpisecs, 2.79152, 	Mcon/sec, 17.8571
procs, 8, 	units, 30, 	weights, 1800, 	cycles, 40000, 	con_trav, 7.2e+07, 	secs, 2.88, 	mpisecs, 2.87922, 	Mcon/sec, 25
procs, 8, 	units, 35, 	weights, 2450, 	cycles, 40000, 	con_trav, 9.8e+07, 	secs, 2.99, 	mpisecs, 2.98948, 	Mcon/sec, 32.7759
procs, 8, 	units, 40, 	weights, 3200, 	cycles, 40000, 	con_trav, 1.28e+08, 	secs, 3.11, 	mpisecs, 3.11529, 	Mcon/sec, 41.1576
procs, 8, 	units, 45, 	weights, 4050, 	cycles, 40000, 	con_trav, 1.62e+08, 	secs, 3.25, 	mpisecs, 3.24828, 	Mcon/sec, 49.8462
procs, 8, 	units, 50, 	weights, 5000, 	cycles, 40000, 	con_trav, 2e+08, 	secs, 3.46, 	mpisecs, 3.45993, 	Mcon/sec, 57.8035
procs, 8, 	units, 55, 	weights, 6050, 	cycles, 40000, 	con_trav, 2.42e+08, 	secs, 3.59, 	mpisecs, 3.58956, 	Mcon/sec, 67.4095
procs, 8, 	units, 60, 	weights, 7200, 	cycles, 40000, 	con_trav, 2.88e+08, 	secs, 3.73, 	mpisecs, 3.72772, 	Mcon/sec, 77.2118
procs, 8, 	units, 65, 	weights, 8450, 	cycles, 40000, 	con_trav, 3.38e+08, 	secs, 3.86, 	mpisecs, 3.85934, 	Mcon/sec, 87.5648
procs, 8, 	units, 70, 	weights, 9800, 	cycles, 40000, 	con_trav, 3.92e+08, 	secs, 4.04, 	mpisecs, 4.03296, 	Mcon/sec, 97.0297
procs, 8, 	units, 75, 	weights, 11250, 	cycles, 40000, 	con_trav, 4.5e+08, 	secs, 4.16, 	mpisecs, 4.16104, 	Mcon/sec, 108.173
procs, 8, 	units, 80, 	weights, 12800, 	cycles, 40000, 	con_trav, 5.12e+08, 	secs, 4.31, 	mpisecs, 4.30773, 	Mcon/sec, 118.794
procs, 8, 	units, 85, 	weights, 14450, 	cycles, 40000, 	con_trav, 5.78e+08, 	secs, 4.46, 	mpisecs, 4.46213, 	Mcon/sec, 129.596
procs, 8, 	units, 90, 	weights, 16200, 	cycles, 40000, 	con_trav, 6.48e+08, 	secs, 4.67, 	mpisecs, 4.67723, 	Mcon/sec, 138.758
procs, 8, 	units, 95, 	weights, 18050, 	cycles, 40000, 	con_trav, 7.22e+08, 	secs, 4.82, 	mpisecs, 4.82319, 	Mcon/sec, 149.793
procs, 8, 	units, 100, 	weights, 20000, 	cycles, 40000, 	con_trav, 8e+08, 	secs, 5.15, 	mpisecs, 5.14561, 	Mcon/sec, 155.34
procs, 8, 	units, 105, 	weights, 22050, 	cycles, 40000, 	con_trav, 8.82e+08, 	secs, 5.37, 	mpisecs, 5.37149, 	Mcon/sec, 164.246
procs, 8, 	units, 110, 	weights, 24200, 	cycles, 40000, 	con_trav, 9.68e+08, 	secs, 5.52, 	mpisecs, 5.51783, 	Mcon/sec, 175.362
procs, 8, 	units, 115, 	weights, 26450, 	cycles, 40000, 	con_trav, 1.058e+09, 	secs, 5.77, 	mpisecs, 5.7731, 	Mcon/sec, 183.362
procs, 8, 	units, 120, 	weights, 28800, 	cycles, 40000, 	con_trav, 1.152e+09, 	secs, 5.96, 	mpisecs, 5.96272, 	Mcon/sec, 193.289
procs, 8, 	units, 125, 	weights, 31250, 	cycles, 40000, 	con_trav, 1.25e+09, 	secs, 6.2, 	mpisecs, 6.19558, 	Mcon/sec, 201.613
procs, 8, 	units, 130, 	weights, 33800, 	cycles, 40000, 	con_trav, 1.352e+09, 	secs, 6.42, 	mpisecs, 6.4185, 	Mcon/sec, 210.592
procs, 8, 	units, 135, 	weights, 36450, 	cycles, 40000, 	con_trav, 1.458e+09, 	secs, 6.59, 	mpisecs, 6.59342, 	Mcon/sec, 221.244
procs, 8, 	units, 140, 	weights, 39200, 	cycles, 40000, 	con_trav, 1.568e+09, 	secs, 6.86, 	mpisecs, 6.8596, 	Mcon/sec, 228.571
procs, 8, 	units, 145, 	weights, 42050, 	cycles, 40000, 	con_trav, 1.682e+09, 	secs, 7.09, 	mpisecs, 7.08814, 	Mcon/sec, 237.236
procs, 8, 	units, 150, 	weights, 45000, 	cycles, 40000, 	con_trav, 1.8e+09, 	secs, 7.34, 	mpisecs, 7.33972, 	Mcon/sec, 245.232
procs, 8, 	units, 155, 	weights, 48050, 	cycles, 40000, 	con_trav, 1.922e+09, 	secs, 7.51, 	mpisecs, 7.51364, 	Mcon/sec, 255.925
procs, 8, 	units, 160, 	weights, 51200, 	cycles, 40000, 	con_trav, 2.048e+09, 	secs, 7.81, 	mpisecs, 7.80385, 	Mcon/sec, 262.228
procs, 8, 	units, 165, 	weights, 54450, 	cycles, 40000, 	con_trav, 2.178e+09, 	secs, 8.04, 	mpisecs, 8.04698, 	Mcon/sec, 270.896
procs, 8, 	units, 170, 	weights, 57800, 	cycles, 40000, 	con_trav, 2.312e+09, 	secs, 8.33, 	mpisecs, 8.3294, 	Mcon/sec, 277.551
procs, 8, 	units, 175, 	weights, 61250, 	cycles, 40000, 	con_trav, 2.45e+09, 	secs, 8.56, 	mpisecs, 8.55231, 	Mcon/sec, 286.215
procs, 8, 	units, 180, 	weights, 64800, 	cycles, 40000, 	con_trav, 2.592e+09, 	secs, 8.85, 	mpisecs, 8.85236, 	Mcon/sec, 292.881
procs, 8, 	units, 185, 	weights, 68450, 	cycles, 40000, 	con_trav, 2.738e+09, 	secs, 9.15, 	mpisecs, 9.15313, 	Mcon/sec, 299.235
procs, 8, 	units, 190, 	weights, 72200, 	cycles, 40000, 	con_trav, 2.888e+09, 	secs, 9.42, 	mpisecs, 9.41966, 	Mcon/sec, 306.582
procs, 8, 	units, 195, 	weights, 76050, 	cycles, 40000, 	con_trav, 3.042e+09, 	secs, 9.76, 	mpisecs, 9.7562, 	Mcon/sec, 311.68
procs, 8, 	units, 200, 	weights, 80000, 	cycles, 40000, 	con_trav, 3.2e+09, 	secs, 10.02, 	mpisecs, 10.0182, 	Mcon/sec, 319.361
procs, 8, 	units, 205, 	weights, 84050, 	cycles, 40000, 	con_trav, 3.362e+09, 	secs, 10.33, 	mpisecs, 10.3324, 	Mcon/sec, 325.46
procs, 8, 	units, 210, 	weights, 88200, 	cycles, 40000, 	con_trav, 3.528e+09, 	secs, 10.66, 	mpisecs, 10.6613, 	Mcon/sec, 330.957
procs, 8, 	units, 215, 	weights, 92450, 	cycles, 40000, 	con_trav, 3.698e+09, 	secs, 10.97, 	mpisecs, 10.9607, 	Mcon/sec, 337.101
procs, 8, 	units, 220, 	weights, 96800, 	cycles, 40000, 	con_trav, 3.872e+09, 	secs, 11.27, 	mpisecs, 11.2677, 	Mcon/sec, 343.567
procs, 8, 	units, 225, 	weights, 101250, 	cycles, 40000, 	con_trav, 4.05e+09, 	secs, 11.63, 	mpisecs, 11.6321, 	Mcon/sec, 348.237
procs, 8, 	units, 230, 	weights, 105800, 	cycles, 40000, 	con_trav, 4.232e+09, 	secs, 11.96, 	mpisecs, 11.9636, 	Mcon/sec, 353.846
procs, 8, 	units, 235, 	weights, 110450, 	cycles, 40000, 	con_trav, 4.418e+09, 	secs, 12.38, 	mpisecs, 12.3801, 	Mcon/sec, 356.866
procs, 8, 	units, 240, 	weights, 115200, 	cycles, 40000, 	con_trav, 4.608e+09, 	secs, 12.71, 	mpisecs, 12.7099, 	Mcon/sec, 362.549
procs, 8, 	units, 245, 	weights, 120050, 	cycles, 40000, 	con_trav, 4.802e+09, 	secs, 13.08, 	mpisecs, 13.0823, 	Mcon/sec, 367.125
procs, 8, 	units, 250, 	weights, 125000, 	cycles, 40000, 	con_trav, 5e+09, 	secs, 13.47, 	mpisecs, 13.4624, 	Mcon/sec, 371.195
procs, 8, 	units, 255, 	weights, 130050, 	cycles, 40000, 	con_trav, 5.202e+09, 	secs, 13.85, 	mpisecs, 13.8456, 	Mcon/sec, 375.596
procs, 8, 	units, 260, 	weights, 135200, 	cycles, 40000, 	con_trav, 5.408e+09, 	secs, 14.21, 	mpisecs, 14.2082, 	Mcon/sec, 380.577
procs, 8, 	units, 265, 	weights, 140450, 	cycles, 40000, 	con_trav, 5.618e+09, 	secs, 14.63, 	mpisecs, 14.6203, 	Mcon/sec, 384.005
procs, 8, 	units, 270, 	weights, 145800, 	cycles, 40000, 	con_trav, 5.832e+09, 	secs, 15.02, 	mpisecs, 15.0202, 	Mcon/sec, 388.282
procs, 8, 	units, 275, 	weights, 151250, 	cycles, 40000, 	con_trav, 6.05e+09, 	secs, 15.47, 	mpisecs, 15.4657, 	Mcon/sec, 391.08
