Epoch_0_H:	|epoch	avg_sum_se	
Epoch_0_D:	176	0.435901	
Epoch_0_D:	177	0.432755	
Epoch_0_D:	178	0.42797		
Epoch_0_D:	179	0.427103	
Epoch_0_D:	180	0.429881	
Epoch_0_D:	181	0.41626		
Epoch_0_D:	182	0.416137	
Epoch_0_D:	183	0.412033	
Epoch_0_D:	184	0.410094	
Epoch_0_D:	185	0.412423	
Epoch_0_D:	186	0.419361	
Epoch_0_D:	187	0.412833	
Epoch_0_D:	188	0.412603	
Epoch_0_D:	189	0.40249		
Epoch_0_D:	190	0.432003	
Epoch_0_D:	191	0.427373	
Epoch_0_D:	192	0.422689	
Epoch_0_D:	193	0.416515	
Epoch_0_D:	194	0.40985		
Epoch_0_D:	195	0.408078	
Epoch_0_D:	196	0.405457	
Epoch_0_D:	197	0.406278	
Epoch_0_D:	198	0.406856	
Epoch_0_D:	199	0.407237	
Epoch_0_D:	200	0.438155	
Epoch_0_D:	201	0.420987	
Epoch_0_D:	202	0.416225	
Epoch_0_D:	203	0.408836	
Epoch_0_D:	204	0.405573	
Epoch_0_D:	205	0.393128	
Epoch_0_D:	206	0.397105	
Epoch_0_D:	207	0.393363	
Epoch_0_D:	208	0.387284	
Epoch_0_D:	209	0.389143	
Epoch_0_D:	210	0.394603	
Epoch_0_D:	211	0.389978	
Epoch_0_D:	212	0.38882		
Epoch_0_D:	213	0.387304	
Epoch_0_D:	214	0.386422	
Epoch_0_D:	215	0.385395	
Epoch_0_D:	216	0.38449		
Epoch_0_D:	217	0.383619	
Epoch_0_D:	218	0.382827	
Epoch_0_D:	219	0.382084	
Epoch_0_D:	220	0.374402	
Epoch_0_D:	221	0.379455	
Epoch_0_D:	222	0.380467	
Epoch_0_D:	223	0.379061	
Epoch_0_D:	224	0.378119	
Epoch_0_D:	225	0.377672	
Epoch_0_D:	226	0.377328	
Epoch_0_D:	227	0.377007	
Epoch_0_D:	228	0.376688	
Epoch_0_D:	229	0.378891	
Epoch_0_D:	230	0.40719		
Epoch_0_D:	231	0.405976	
Epoch_0_D:	232	0.401529	
Epoch_0_D:	233	0.396926	
Epoch_0_D:	234	0.395517	
Epoch_0_D:	235	0.394525	
Epoch_0_D:	236	0.393674	
Epoch_0_D:	237	0.392899	
Epoch_0_D:	238	0.392198	
Epoch_0_D:	239	0.391542	
Epoch_0_D:	240	0.376898	
Epoch_0_D:	241	0.358671	
Epoch_0_D:	242	0.358967	
Epoch_0_D:	243	0.362685	
Epoch_0_D:	244	0.364295	
Epoch_0_D:	245	0.365171	
Epoch_0_D:	246	0.36693		
Epoch_0_D:	247	0.366706	
Epoch_0_D:	248	0.367674	
Epoch_0_D:	249	0.367788	
Epoch_0_D:	250	0.396773	
Epoch_0_D:	251	0.404318	
Epoch_0_D:	252	0.3965		
Epoch_0_D:	253	0.3924		
Epoch_0_D:	254	0.388857	
Epoch_0_D:	255	0.386653	
Epoch_0_D:	256	0.384876	
Epoch_0_D:	257	0.383437	
Epoch_0_D:	258	0.382199	
Epoch_0_D:	259	0.381122	
Epoch_0_D:	260	0.425134	
Epoch_0_D:	261	0.41413		
Epoch_0_D:	262	0.403667	
Epoch_0_D:	263	0.391976	
Epoch_0_D:	264	0.390767	
Epoch_0_D:	265	0.392619	
Epoch_0_D:	266	0.392004	
Epoch_0_D:	267	0.392216	
Epoch_0_D:	268	0.392333	
Epoch_0_D:	269	0.392365	
Epoch_0_D:	270	0.368437	
Epoch_0_D:	271	0.352155	
Epoch_0_D:	272	0.349289	
Epoch_0_D:	273	0.349459	
Epoch_0_D:	274	0.349693	
Epoch_0_D:	275	0.35135		
Epoch_0_D:	276	0.352059	
Epoch_0_D:	277	0.352142	
Epoch_0_D:	278	0.352218	
Epoch_0_D:	279	0.352287	
Epoch_0_D:	280	0.380467	
Epoch_0_D:	281	0.373055	
Epoch_0_D:	282	0.378231	
Epoch_0_D:	283	0.369916	
Epoch_0_D:	284	0.352276	
Epoch_0_D:	285	0.352361	
Epoch_0_D:	286	0.352699	
Epoch_0_D:	287	0.352887	
Epoch_0_D:	288	0.352523	
Epoch_0_D:	289	0.350853	
Epoch_0_D:	290	0.409329	
Epoch_0_D:	291	0.406956	
Epoch_0_D:	292	0.401363	
Epoch_0_D:	293	0.389944	
Epoch_0_D:	294	0.381979	
Epoch_0_D:	295	0.383625	
Epoch_0_D:	296	0.383922	
Epoch_0_D:	297	0.384071	
Epoch_0_D:	298	0.385509	
Epoch_0_D:	299	0.385025	
Epoch_0_D:	300	0.378053	
Epoch_0_D:	301	0.378014	
Epoch_0_D:	302	0.373282	
Epoch_0_D:	303	0.373766	
Epoch_0_D:	304	0.376483	
Epoch_0_D:	305	0.371303	
Epoch_0_D:	306	0.372462	
Epoch_0_D:	307	0.36868		
Epoch_0_D:	308	0.365296	
Epoch_0_D:	309	0.356323	
Epoch_0_D:	310	0.386583	
Epoch_0_D:	311	0.388018	
Epoch_0_D:	312	0.382818	
Epoch_0_D:	313	0.389418	
Epoch_0_D:	314	0.386921	
Epoch_0_D:	315	0.379827	
Epoch_0_D:	316	0.375022	
Epoch_0_D:	317	0.375199	
Epoch_0_D:	318	0.372987	
Epoch_0_D:	319	0.378505	
Epoch_0_D:	320	0.370694	
Epoch_0_D:	321	0.353647	
Epoch_0_D:	322	0.343171	
Epoch_0_D:	323	0.331513	
Epoch_0_D:	324	0.335414	
Epoch_0_D:	325	0.338853	
Epoch_0_D:	326	0.334833	
Epoch_0_D:	327	0.336446	
Epoch_0_D:	328	0.333286	
Epoch_0_D:	329	0.334702	
Epoch_0_D:	330	0.420559	
Epoch_0_D:	331	0.387283	
Epoch_0_D:	332	0.363338	
Epoch_0_D:	333	0.36772		
Epoch_0_D:	334	0.365322	
Epoch_0_D:	335	0.357678	
Epoch_0_D:	336	0.360327	
Epoch_0_D:	337	0.360649	
Epoch_0_D:	338	0.361852	
Epoch_0_D:	339	0.363753	
Epoch_0_D:	340	0.388458	
Epoch_0_D:	341	0.379177	
Epoch_0_D:	342	0.376103	
Epoch_0_D:	343	0.376456	
Epoch_0_D:	344	0.37774		
Epoch_0_D:	345	0.377753	
Epoch_0_D:	346	0.378377	
Epoch_0_D:	347	0.379862	
Epoch_0_D:	348	0.381508	
Epoch_0_D:	349	0.38145		
Epoch_0_D:	350	0.421353	
Epoch_0_D:	351	0.430211	
Epoch_0_D:	352	0.424158	
Epoch_0_D:	353	0.401923	
Epoch_0_D:	354	0.39005		
Epoch_0_D:	355	0.378604	
Epoch_0_D:	356	0.374206	
Epoch_0_D:	357	0.374529	
Epoch_0_D:	358	0.374212	
Epoch_0_D:	359	0.375604	
Epoch_0_D:	360	0.358976	
Epoch_0_D:	361	0.357561	
Epoch_0_D:	362	0.353728	
Epoch_0_D:	363	0.351379	
Epoch_0_D:	364	0.350063	
Epoch_0_D:	365	0.348136	
Epoch_0_D:	366	0.346399	
Epoch_0_D:	367	0.346114	
Epoch_0_D:	368	0.345835	
Epoch_0_D:	369	0.345584	
Epoch_0_D:	370	0.32069		
Epoch_0_D:	371	0.314355	
Epoch_0_D:	372	0.301701	
